seed,time_solve,size_bytes
490, 181.10299611091614, 331788749
595, 158.73692417144775, 280158563
969, 181.87206530570984, 312787805
73, 167.7294089794159, 305844463
963, 172.81815195083618, 282596574
929, 187.58951377868652, 319429914
240, 163.63160347938538, 316732738
725, 211.78517866134644, 339329120
38, 188.61449241638184, 329939827
617, 179.51219296455383, 351270431
151, 158.33339285850525, 290802365
616, 158.58304738998413, 314381158
538, 218.23166799545288, 339700794
550, 191.68386912345886, 332267911
1, 212.44254159927368, 352521195
910, 194.64989757537842, 321873167
830, 197.83350467681885, 317358478
767, 180.78964495658875, 289955140
836, 208.64828252792358, 356348338
98, 230.89052748680115, 380045130
46, 199.98498821258545, 352264480
626, 212.002037525177, 377732276
174, 173.94799828529358, 305921470
771, 221.64908742904663, 341889597
52, 203.23658418655396, 350378592
64, 203.2842674255371, 360688436
619, 210.84153628349304, 359876405
510, 204.2516610622406, 361473589
47, 168.57287192344666, 298376933
746, 177.07360553741455, 341516642
618, 218.81411385536194, 381365957
460, 150.69005370140076, 339103457
296, 214.3122808933258, 341266354
226, 179.36363530158997, 293568395
60, 168.84490418434143, 290848840
897, 183.42743182182312, 334869295
531, 222.2690191268921, 358966453
916, 240.58660864830017, 385216242
973, 176.14260864257812, 303244703
643, 206.39675116539001, 317068662
694, 187.7384204864502, 337002032
966, 219.0496153831482, 347971694
621, 196.8039436340332, 352231949
913, 197.6879346370697, 350536682
182, 196.43329739570618, 353727298
686, 212.22317457199097, 349904177
870, 210.99920344352722, 351624107
233, 158.58507561683655, 271412891
635, 178.16251802444458, 334048981
422, 180.92125844955444, 299821202
905, 199.29490542411804, 325733746
896, 213.23733377456665, 341282059
339, 172.24585223197937, 291186879
222, 188.97183871269226, 370278914
765, 186.64435863494873, 306647549
393, 193.85111212730408, 329265116
302, 231.92569255828857, 350904806
188, 213.0012891292572, 346735479
878, 196.24850344657898, 327257356
522, 181.05307793617249, 342235257
865, 194.42993474006653, 317446791
201, 217.7174732685089, 330965795
956, 223.30788016319275, 382743246
208, 160.95601558685303, 297290331
96, 202.23768186569214, 336663126
131, 192.55121636390686, 315332254
736, 158.54879593849182, 320828537
728, 227.05312156677246, 365889537
776, 198.3910267353058, 318830724
402, 181.5351197719574, 361959738
375, 202.73351955413818, 331592504
511, 189.46379160881042, 337606523
964, 138.29649567604065, 291345358
708, 157.60107970237732, 295248547
755, 189.00161027908325, 307699570
656, 193.45347571372986, 314208445
338, 191.903470993042, 323379264
852, 202.16879773139954, 361763310
50, 167.00926566123962, 331898057
668, 181.958735704422, 330334407
982, 199.3943314552307, 324043285
464, 142.3096799850464, 326006755
489, 179.39222836494446, 333677077
954, 181.64105343818665, 308194335
587, 143.3330008983612, 269941530
173, 224.43544340133667, 382940638
987, 202.33128952980042, 344674284
481, 225.14659547805786, 362165915
715, 249.23463940620422, 427287667
772, 169.69568824768066, 295668646
221, 189.2698061466217, 371584199
234, 187.25191736221313, 310722317
784, 170.4659402370453, 297686780
194, 166.81020712852478, 303112466
566, 221.2760751247406, 357521206
703, 200.45640516281128, 326600023
398, 175.19669365882874, 334049284
739, 215.07584834098816, 351849338
